org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-05954567,F20,0.998,ml_model
GB-COH-05955494,B11,0.543,ml_model
GB-COH-05957375,B13,0.918,ml_model
GB-COH-05959413,F20,0.983,ml_model
GB-COH-05961392,A11,0.895,ml_model
GB-COH-05962550,D11,0.942,ml_model
GB-COH-05963925,A12,0.754,ml_model
GB-COH-05963948,A90,0.29,ml_model
GB-COH-05963967,H10,0.527,ml_model
GB-COH-05964023,C11,0.887,ml_model
GB-COH-05965570,A11,1.0,ml_model
GB-COH-05965732,F20,0.981,ml_model
GB-COH-05966500,C12,0.743,ml_model
GB-COH-05969020,F20,1.0,ml_model
GB-COH-05971002,F20,1.0,ml_model
GB-COH-05971820,F20,0.969,ml_model
GB-COH-05971822,F20,0.473,ml_model
GB-COH-05974777,D13,0.998,ml_model
GB-COH-05976330,A21,0.999,ml_model
GB-COH-05978038,D11,0.668,ml_model
GB-COH-05978044,D13,1.0,ml_model
GB-COH-05978492,A21,0.542,ml_model
GB-COH-05979334,H10,0.918,ml_model
GB-COH-05980476,F20,1.0,ml_model
GB-COH-05980872,F40,0.702,ml_model
GB-COH-05984267,D13,0.728,ml_model
GB-COH-05985321,C11,0.491,ml_model
GB-COH-05986285,H10,0.946,ml_model
GB-COH-05987748,C31,0.999,ml_model
GB-COH-05988578,F20,0.995,ml_model
GB-COH-05988579,D19,0.993,ml_model
GB-COH-05988580,H10,0.584,ml_model
GB-COH-05993666,B11,1.0,ml_model
GB-COH-05994532,H10,0.998,ml_model
GB-COH-05994867,D13,0.997,ml_model
GB-COH-05995494,B31,0.545,ml_model
GB-COH-05995825,B31,0.941,ml_model
GB-COH-05997459,F20,0.674,ml_model
GB-COH-06000220,D11,0.918,ml_model
GB-COH-06000863,A11,0.98,ml_model
GB-COH-06004205,F20,0.971,ml_model
GB-COH-06004211,L50,1.0,ml_model
GB-COH-06004215,C12,0.972,ml_model
GB-COH-06004240,G14,0.916,ml_model
GB-COH-06004243,C12,0.973,ml_model
GB-COH-06004298,B32,0.457,ml_model
GB-COH-06005739,D13,0.968,ml_model
GB-COH-06005744,F20,0.304,ml_model
GB-COH-06011928,H10,0.738,ml_model
GB-COH-06014339,G12,0.345,ml_model
GB-COH-06014972,I10,0.411,ml_model
GB-COH-06014982,D14,0.849,ml_model
GB-COH-06018662,H10,0.957,ml_model
GB-COH-06023096,A90,0.277,ml_model
GB-COH-06023117,G14,0.339,ml_model
GB-COH-06023440,B31,0.999,ml_model
GB-COH-06025938,C12,0.996,ml_model
GB-COH-06025978,A11,1.0,ml_model
GB-COH-06026025,G14,0.615,ml_model
GB-COH-06026062,G30,0.893,ml_model
GB-COH-06027161,C11,0.978,ml_model
GB-COH-06029810,H90,0.295,ml_model
GB-COH-06029817,F20,0.807,ml_model
GB-COH-06029959,F20,1.0,ml_model
GB-COH-06030033,A21,1.0,ml_model
GB-COH-06032372,B11,0.956,ml_model
GB-COH-06033219,F20,0.822,ml_model
GB-COH-06033644,G14,0.995,ml_model
GB-COH-06035151,H10,0.99,ml_model
GB-COH-06035560,F20,0.531,ml_model
GB-COH-06035601,D13,1.0,ml_model
GB-COH-06035612,B31,0.992,ml_model
GB-COH-06036496,B31,0.99,ml_model
GB-COH-06036539,D19,0.844,ml_model
GB-COH-06036576,A11,0.944,ml_model
GB-COH-06036617,F30,0.999,ml_model
GB-COH-06036781,B31,0.987,ml_model
GB-COH-06036812,A21,0.765,ml_model
GB-COH-06037521,F20,0.54,ml_model
GB-COH-06037530,F20,0.999,ml_model
GB-COH-06038394,F20,0.653,ml_model
GB-COH-06040154,B20,0.515,ml_model
GB-COH-06040172,C12,1.0,ml_model
GB-COH-06040435,H90,0.894,ml_model
GB-COH-06040778,B31,0.766,ml_model
GB-COH-06045422,F20,0.848,ml_model
GB-COH-06045691,F20,0.996,ml_model
GB-COH-06045747,A21,0.977,ml_model
GB-COH-06045786,L50,0.882,ml_model
GB-COH-06046815,D12,0.993,ml_model
GB-COH-06046834,I90,0.993,ml_model
GB-COH-06048584,F20,0.997,ml_model
